# 2Theta  Intensity_Obs  Intensity_Fit
14.377742 0.140665 0.154066
14.388609 0.146536 0.154052
14.399475 0.142779 0.154037
14.410341 0.147006 0.154023
14.421208 0.148963 0.154009
14.432074 0.146693 0.153995
14.442941 0.147476 0.153981
14.453807 0.142074 0.153967
14.464674 0.143405 0.153953
14.475540 0.145832 0.153939
14.486407 0.142622 0.153925
14.497273 0.144110 0.153911
14.508139 0.148415 0.153898
14.519006 0.140196 0.153884
14.529872 0.145284 0.153871
14.540739 0.146771 0.153857
14.551605 0.147945 0.153844
14.562472 0.139648 0.153830
14.573338 0.148180 0.153817
14.584204 0.144110 0.153804
14.595071 0.145597 0.153791
14.605937 0.141761 0.153778
14.616804 0.144501 0.153765
14.627670 0.148180 0.153752
14.638537 0.146145 0.153739
14.649403 0.141526 0.153726
14.660270 0.143640 0.153713
14.671136 0.149119 0.153700
14.682002 0.143718 0.153688
14.692869 0.147162 0.153675
14.703735 0.143718 0.153663
14.714602 0.143875 0.153650
14.725468 0.147397 0.153638
14.736335 0.138552 0.153625
14.747201 0.141918 0.153613
14.758067 0.146536 0.153601
14.768934 0.144736 0.153589
14.779800 0.139726 0.153576
14.790667 0.141057 0.153564
14.801533 0.143796 0.153552
14.812400 0.146693 0.153541
14.823266 0.141370 0.153529
14.834133 0.142074 0.153517
14.844999 0.148963 0.153505
14.855865 0.143718 0.153494
14.866732 0.139491 0.153482
14.877598 0.137847 0.153470
14.888465 0.144501 0.153459
14.899331 0.147397 0.153447
14.910198 0.147632 0.153436
14.921064 0.142857 0.153425
14.931931 0.141840 0.153414
14.942797 0.146849 0.153402
14.953663 0.138239 0.153391
14.964530 0.144814 0.153380
14.975396 0.143875 0.153369
14.986263 0.142857 0.153358
14.997129 0.149902 0.153348
15.007996 0.148728 0.153337
15.018862 0.146771 0.153326
15.029729 0.145910 0.153316
15.040595 0.150059 0.153305
15.051461 0.144344 0.153294
15.062328 0.143092 0.153284
15.073194 0.147241 0.153274
15.084061 0.149746 0.153263
15.094927 0.153816 0.153253
15.105794 0.138943 0.153243
15.116660 0.143562 0.153233
15.127526 0.144892 0.153223
15.138393 0.143014 0.153213
15.149259 0.146301 0.153203
15.160126 0.146458 0.153193
15.170992 0.145910 0.153183
15.181859 0.144736 0.153173
15.192725 0.144110 0.153164
15.203592 0.149198 0.153154
15.214458 0.145988 0.153145
15.225324 0.145597 0.153135
15.236191 0.144344 0.153126
15.247057 0.139883 0.153116
15.257924 0.147084 0.153107
15.268790 0.147319 0.153098
15.279657 0.147945 0.153089
15.290523 0.144031 0.153080
15.301389 0.148023 0.153071
15.312256 0.146223 0.153062
15.323122 0.145284 0.153053
15.333989 0.144814 0.153044
15.344855 0.141448 0.153036
15.355722 0.141683 0.153027
15.366588 0.145832 0.153018
15.377455 0.149667 0.153010
15.388321 0.141448 0.153002
15.399187 0.147789 0.152993
15.410054 0.140665 0.152985
15.420920 0.150294 0.152977
15.431787 0.142622 0.152969
15.442653 0.143796 0.152961
15.453520 0.149511 0.152953
15.464386 0.145519 0.152945
15.475253 0.146145 0.152937
15.486119 0.144266 0.152929
15.496985 0.141761 0.152922
15.507852 0.143796 0.152914
15.518718 0.149276 0.152907
15.529585 0.147632 0.152899
15.540451 0.135890 0.152892
15.551318 0.141605 0.152885
15.562184 0.141605 0.152877
15.573051 0.147319 0.152870
15.583917 0.146614 0.152863
15.594783 0.146614 0.152856
15.605650 0.145362 0.152850
15.616516 0.146380 0.152843
15.627383 0.141996 0.152836
15.638249 0.139491 0.152830
15.649116 0.137534 0.152823
15.659982 0.148023 0.152817
15.670848 0.146771 0.152811
15.681715 0.147554 0.152804
15.692581 0.139961 0.152798
15.703448 0.144892 0.152792
15.714314 0.146458 0.152786
15.725181 0.144266 0.152781
15.736047 0.144188 0.152775
15.746914 0.144423 0.152769
