# 2Theta  Intensity_Obs  Intensity_Fit
17.626808 0.085082 0.087800
17.637674 0.088342 0.087807
17.648541 0.086527 0.087813
17.659407 0.086743 0.087820
17.670273 0.084005 0.087827
17.681140 0.087235 0.087833
17.692006 0.088496 0.087840
17.702873 0.088834 0.087847
17.713739 0.088342 0.087853
17.724606 0.085666 0.087860
17.735472 0.087573 0.087867
17.746339 0.088957 0.087874
17.757205 0.089050 0.087881
17.768071 0.085666 0.087888
17.778938 0.087604 0.087895
17.789804 0.087727 0.087902
17.800671 0.085635 0.087909
17.811537 0.087204 0.087916
17.822404 0.086927 0.087923
17.833270 0.089480 0.087930
17.844136 0.085820 0.087937
17.855003 0.086435 0.087945
17.865869 0.088557 0.087952
17.876736 0.084774 0.087959
17.887602 0.088773 0.087967
17.898469 0.086220 0.087974
17.909335 0.084374 0.087981
17.920202 0.088496 0.087989
17.931068 0.086958 0.087996
17.941934 0.084928 0.088004
17.952801 0.089111 0.088011
17.963667 0.085020 0.088019
17.974534 0.085358 0.088026
17.985400 0.085543 0.088034
17.996267 0.088004 0.088041
18.007133 0.084958 0.088049
18.018000 0.085543 0.088057
18.028866 0.087727 0.088064
18.039732 0.089111 0.088072
18.050599 0.087173 0.088080
18.061465 0.086804 0.088088
18.072332 0.086312 0.088096
18.083198 0.082805 0.088103
18.094065 0.088342 0.088111
18.104931 0.087911 0.088119
18.115797 0.089050 0.088127
18.126664 0.090372 0.088135
18.137530 0.083605 0.088143
18.148397 0.088465 0.088151
18.159263 0.086435 0.088159
18.170130 0.087635 0.088167
18.180996 0.086250 0.088175
18.191863 0.087727 0.088183
18.202729 0.088065 0.088191
18.213595 0.086620 0.088199
18.224462 0.088004 0.088207
18.235328 0.088188 0.088215
18.246195 0.086250 0.088224
18.257061 0.085266 0.088232
18.267928 0.091418 0.088240
18.278794 0.087419 0.088248
18.289661 0.088034 0.088257
18.300527 0.088342 0.088265
18.311393 0.088342 0.088273
18.322260 0.088834 0.088281
18.333126 0.091203 0.088290
18.343993 0.088680 0.088298
18.354859 0.088188 0.088306
18.365726 0.088157 0.088315
18.376592 0.087481 0.088323
18.387458 0.088588 0.088332
18.398325 0.088250 0.088340
18.409191 0.090095 0.088349
18.420058 0.088957 0.088357
18.430924 0.086866 0.088366
18.441791 0.084774 0.088374
18.452657 0.088988 0.088383
18.463524 0.089757 0.088391
18.474390 0.086804 0.088400
18.485256 0.087758 0.088409
18.496123 0.088342 0.088417
18.506989 0.088188 0.088426
18.517856 0.086958 0.088434
18.528722 0.089819 0.088443
18.539589 0.089788 0.088452
18.550455 0.088250 0.088461
18.561321 0.090434 0.088469
18.572188 0.084313 0.088478
18.583054 0.088157 0.088487
18.593921 0.088711 0.088496
18.604787 0.088803 0.088504
18.615654 0.085266 0.088513
18.626520 0.089726 0.088522
18.637387 0.090218 0.088531
18.648253 0.087358 0.088540
18.659119 0.087481 0.088549
18.669986 0.091572 0.088557
18.680852 0.089788 0.088566
18.691719 0.091449 0.088575
18.702585 0.086558 0.088584
18.713452 0.087050 0.088593
18.724318 0.091141 0.088602
18.735185 0.090834 0.088611
18.746051 0.087296 0.088620
18.756917 0.089880 0.088629
18.767784 0.088557 0.088638
18.778650 0.088496 0.088647
18.789517 0.090772 0.088656
18.800383 0.087696 0.088665
18.811250 0.089757 0.088674
18.822116 0.089788 0.088684
18.832982 0.087542 0.088693
18.843849 0.089942 0.088702
18.854715 0.086035 0.088711
18.865582 0.090526 0.088720
18.876448 0.087142 0.088729
18.887315 0.087881 0.088738
18.898181 0.091357 0.088748
18.909048 0.090588 0.088757
18.919914 0.089019 0.088766
18.930780 0.085943 0.088775
18.941647 0.089880 0.088785
18.952513 0.089849 0.088794
18.963380 0.089203 0.088803
18.974246 0.090095 0.088812
18.985113 0.087911 0.088822
18.995979 0.089757 0.088831
19.006846 0.090834 0.088840
19.017712 0.086066 0.088850
19.028578 0.091726 0.088859
19.039445 0.088896 0.088869
19.050311 0.091449 0.088878
19.061178 0.087173 0.088887
19.072044 0.086927 0.088897
19.082911 0.090526 0.088906
19.093777 0.091018 0.088916
19.104644 0.087358 0.088925
19.115510 0.086927 0.088935
19.126376 0.087481 0.088944
19.137243 0.089111 0.088954
19.148109 0.089357 0.088963
19.158976 0.087388 0.088973
19.169842 0.089142 0.088982
19.180709 0.087265 0.088992
19.191575 0.087419 0.089001
19.202441 0.087327 0.089011
19.213308 0.087019 0.089020
19.224174 0.085389 0.089030
19.235041 0.086804 0.089040
19.245907 0.087388 0.089049
19.256774 0.090895 0.089059
19.267640 0.088004 0.089068
19.278507 0.087850 0.089078
19.289373 0.087327 0.089088
19.300239 0.089234 0.089097
19.311106 0.087881 0.089107
19.321972 0.092249 0.089117
19.332839 0.089542 0.089126
19.343705 0.084958 0.089136
19.354572 0.088926 0.089146
19.365438 0.088004 0.089156
19.376304 0.089388 0.089165
19.387171 0.086927 0.089175
19.398037 0.091049 0.089185
19.408904 0.091910 0.089195
19.419770 0.089019 0.089205
19.430637 0.088896 0.089214
19.441503 0.089788 0.089224
19.452370 0.086804 0.089234
19.463236 0.088803 0.089244
19.474102 0.089972 0.089254
19.484969 0.090065 0.089264
19.495835 0.087112 0.089273
19.506702 0.087388 0.089283
19.517568 0.088281 0.089293
19.528435 0.089234 0.089303
19.539301 0.086866 0.089313
19.550168 0.089080 0.089323
19.561034 0.091141 0.089333
19.571900 0.089849 0.089343
19.582767 0.092249 0.089353
19.593633 0.090311 0.089363
19.604500 0.088896 0.089373
19.615366 0.089942 0.089383
19.626233 0.092525 0.089393
19.637099 0.089480 0.089403
19.647965 0.087296 0.089413
19.658832 0.088434 0.089423
19.669698 0.089603 0.089433
19.680565 0.088434 0.089443
19.691431 0.090218 0.089453
19.702298 0.090218 0.089463
19.713164 0.089695 0.089473
19.724031 0.088034 0.089483
19.734897 0.088711 0.089493
19.745763 0.088865 0.089504
19.756630 0.089296 0.089514
19.767496 0.089880 0.089524
19.778363 0.091387 0.089534
19.789229 0.090434 0.089544
19.800096 0.091172 0.089554
19.810962 0.090126 0.089564
19.821829 0.090372 0.089575
19.832695 0.086773 0.089585
19.843561 0.089849 0.089595
19.854428 0.087635 0.089605
19.865294 0.087881 0.089615
19.876161 0.092033 0.089626
19.887027 0.087881 0.089636
19.897894 0.088865 0.089646
19.908760 0.090065 0.089656
19.919626 0.090280 0.089667
19.930493 0.091603 0.089677
19.941359 0.089972 0.089687
19.952226 0.089357 0.089698
19.963092 0.087881 0.089708
19.973959 0.088281 0.089718
19.984825 0.091264 0.089728
19.995692 0.093356 0.089739
20.006558 0.089019 0.089749
20.017424 0.093079 0.089759
20.028291 0.088773 0.089770
20.039157 0.091203 0.089780
20.050024 0.090434 0.089791
20.060890 0.088188 0.089801
