index,Rwp,step,frac,scale
101,16.834224232102287,粗调 (Stage 1),"[0.5527659058570862, 0.4472341239452362]","[0.6967676281929016, 0.7757138013839722]"
102,17.657712100776116,粗调 (Stage 1),"[0.5073805451393127, 0.49261948466300964]","[0.7586207389831543, 0.8523057699203491]"
103,15.990785421195058,粗调 (Stage 1),"[0.5346494317054749, 0.46535059809684753]","[0.7273575663566589, 0.8168020248413086]"
104,15.986808701690169,粗调 (Stage 1),"[0.5344770550727844, 0.4655229151248932]","[0.7275119423866272, 0.8173354864120483]"
105,15.990242119833372,粗调 (Stage 1),"[0.5343705415725708, 0.4656294286251068]","[0.7276644706726074, 0.8176774978637695]"
106,15.986574828448763,粗调 (Stage 1),"[0.5340445637702942, 0.4659554064273834]","[0.7279922962188721, 0.8187114596366882]"
107,16.27462292944826,粗调 (Stage 1),"[0.5320472717285156, 0.4679527282714844]","[0.7347686290740967, 0.8256387114524841]"
108,15.777519362758873,粗调 (Stage 1),"[0.5367910861968994, 0.4632089138031006]","[0.7144860625267029, 0.8042150735855103]"
109,16.26127449058621,粗调 (Stage 1),"[0.5334280729293823, 0.46657195687294006]","[0.7167277336120605, 0.8160659670829773]"
110,15.379137195308784,粗调 (Stage 1),"[0.532831609249115, 0.4671684205532074]","[0.7125339508056641, 0.809390127658844]"
111,15.424571868745879,粗调 (Stage 1),"[0.537844717502594, 0.462155282497406]","[0.7066276669502258, 0.7937910556793213]"
112,15.316752501480776,粗调 (Stage 1),"[0.5316494107246399, 0.4683505892753601]","[0.712522566318512, 0.8115496039390564]"
113,16.840506837970644,粗调 (Stage 1),"[0.5022751092910767, 0.4977249205112457]","[0.6108786463737488, 0.7608935832977295]"
114,15.278731240166223,粗调 (Stage 1),"[0.584326982498169, 0.41567298769950867]","[0.862330436706543, 0.8451935052871704]"
115,17.88096447546055,粗调 (Stage 1),"[0.7114673852920532, 0.2885326147079468]","[0.751933753490448, 0.658092200756073]"
116,15.481653713443064,粗调 (Stage 1),"[0.5268315076828003, 0.4731685519218445]","[0.920922040939331, 0.9318342208862305]"
117,15.587680662178663,粗调 (Stage 1),"[0.5775379538536072, 0.4224620461463928]","[0.835893452167511, 0.836944580078125]"
118,17.30012172949848,粗调 (Stage 1),"[0.5964963436126709, 0.4035036861896515]","[0.8945279121398926, 0.848385751247406]"
119,16.286094537699224,粗调 (Stage 1),"[0.6664705276489258, 0.3335294723510742]","[1.1848112344741821, 0.8750972747802734]"
120,17.22587172725679,粗调 (Stage 1),"[0.48746734857559204, 0.5125327110290527]","[0.5808529853820801, 0.7701348066329956]"
121,15.931080560337174,粗调 (Stage 1),"[0.6114881634712219, 0.3885118365287781]","[0.9574643969535828, 0.8592632412910461]"
122,15.473536180035302,粗调 (Stage 1),"[0.5799678564071655, 0.4200321137905121]","[0.8493338823318481, 0.8431752920150757]"
123,15.048409865384398,粗调 (Stage 1),"[0.5691226124763489, 0.4308774173259735]","[0.87798011302948, 0.8670589327812195]"
124,15.54216882252947,粗调 (Stage 1),"[0.5979649424552917, 0.40203508734703064]","[0.8504683971405029, 0.8260512351989746]"
125,15.416705430039832,粗调 (Stage 1),"[0.5865864157676697, 0.4134136140346527]","[0.8550804257392883, 0.839043140411377]"
126,15.44225870411996,粗调 (Stage 1),"[0.5895796418190002, 0.41042032837867737]","[0.8674131035804749, 0.8422402143478394]"
127,15.21408878879619,粗调 (Stage 1),"[0.5867413282394409, 0.4132586419582367]","[0.8625930547714233, 0.8425840735435486]"
128,15.624514267475616,粗调 (Stage 1),"[0.5893975496292114, 0.41060248017311096]","[0.8484451770782471, 0.8326099514961243]"
129,19.28335220189889,粗调 (Stage 1),"[0.24415338039398193, 0.7558466196060181]","[0.31372109055519104, 0.48113730549812317]"
130,19.28335220189889,粗调 (Stage 1),"[0.24415338039398193, 0.7558466196060181]","[0.31372109055519104, 0.48113730549812317]"
131,19.27848346065561,粗调 (Stage 1),"[0.24447724223136902, 0.7555227279663086]","[0.31398189067840576, 0.4821704626083374]"
132,19.27848346065561,粗调 (Stage 1),"[0.24447724223136902, 0.7555227279663086]","[0.31398189067840576, 0.4821704626083374]"
133,19.30351108661859,粗调 (Stage 1),"[0.24474909901618958, 0.755250871181488]","[0.31173229217529297, 0.4807114005088806]"
134,19.30351108661859,粗调 (Stage 1),"[0.24474909901618958, 0.755250871181488]","[0.31173229217529297, 0.4807114005088806]"
135,15.38848929232523,粗调 (Stage 1),"[0.6313549280166626, 0.3686450719833374]","[0.7977573275566101, 0.7679606080055237]"
136,15.621189363070703,粗调 (Stage 1),"[0.5801609754562378, 0.4198390543460846]","[0.8619468212127686, 0.8415338397026062]"
137,15.973649048161006,粗调 (Stage 1),"[0.6320844292640686, 0.3679155707359314]","[0.8006044030189514, 0.7689715027809143]"
138,15.538193153997714,粗调 (Stage 1),"[0.5949101448059082, 0.4050898849964142]","[0.8505460023880005, 0.8284468054771423]"
139,15.63147233669469,粗调 (Stage 1),"[0.5887190103530884, 0.411281019449234]","[0.8476558327674866, 0.8316307067871094]"
140,16.766684645661588,粗调 (Stage 1),"[0.527751088142395, 0.4722488820552826]","[0.9211053848266602, 0.9279137253761292]"
141,15.050706867725813,粗调 (Stage 1),"[0.5691147446632385, 0.4308852255344391]","[0.8781692385673523, 0.8671686053276062]"
142,15.045845838669013,粗调 (Stage 1),"[0.5691922307014465, 0.4308077394962311]","[0.8776824474334717, 0.8667335510253906]"
143,15.048091880749714,粗调 (Stage 1),"[0.5691410899162292, 0.43085891008377075]","[0.8779448866844177, 0.8669942617416382]"
144,15.043663192765816,粗调 (Stage 1),"[0.5692001581192017, 0.4307998716831207]","[0.8775696158409119, 0.8666744828224182]"
145,15.3122799841639,粗调 (Stage 1),"[0.568349301815033, 0.43165066838264465]","[0.8874499201774597, 0.869592010974884]"
146,14.804878576349406,粗调 (Stage 1),"[0.5702400207519531, 0.42976000905036926]","[0.8575170040130615, 0.8562588095664978]"
147,15.303437150360322,粗调 (Stage 1),"[0.5694173574447632, 0.43058261275291443]","[0.8580784797668457, 0.8568723797798157]"
148,14.342095335020907,粗调 (Stage 1),"[0.5730642080307007, 0.42693576216697693]","[0.8464096188545227, 0.8444182276725769]"
149,14.4228169571656,粗调 (Stage 1),"[0.5714530348777771, 0.4285469353199005]","[0.850350558757782, 0.8505791425704956]"
150,14.254315509725487,粗调 (Stage 1),"[0.5764439702033997, 0.42355599999427795]","[0.839046061038971, 0.8318923711776733]"
151,14.791446032825018,粗调 (Stage 1),"[0.5469591021537781, 0.45304086804389954]","[0.7460445165634155, 0.8058714866638184]"
