# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
13.760000 0.000000 0.001037 -0.001037
13.770000 0.000000 0.001091 -0.001091
13.780000 0.000000 0.001165 -0.001165
13.790000 0.004748 0.001271 0.003478
13.800000 0.000000 0.001421 -0.001421
13.810000 0.003330 0.001631 0.001699
13.820000 0.002836 0.001913 0.000923
13.830000 0.004081 0.002272 0.001809
13.840000 0.003584 0.002701 0.000883
13.850000 0.000000 0.003177 -0.003177
13.860000 0.003893 0.003655 0.000238
13.870000 0.006006 0.004078 0.001929
13.880000 0.001154 0.004377 -0.003223
13.890000 0.009361 0.004495 0.004866
13.900000 0.000000 0.004414 -0.004414
13.910000 0.004008 0.004164 -0.000156
13.920000 0.000000 0.003807 -0.003807
13.930000 0.003009 0.003408 -0.000399
13.940000 0.000000 0.003026 -0.003026
13.950000 0.000000 0.002699 -0.002699
13.960000 0.000000 0.002447 -0.002447
13.970000 0.014071 0.002275 0.011796
13.980000 0.007913 0.002176 0.005736
13.990000 0.005671 0.002137 0.003534
14.000000 0.004302 0.002144 0.002158
14.010000 0.000000 0.002184 -0.002184
14.020000 0.002435 0.002248 0.000187
14.030000 0.007158 0.002330 0.004829
14.040000 0.000000 0.002425 -0.002425
14.050000 0.005290 0.002533 0.002757
14.060000 0.000000 0.002653 -0.002653
14.070000 0.011695 0.002786 0.008909
14.080000 0.000000 0.002931 -0.002931
14.090000 0.000000 0.003091 -0.003091
14.100000 0.026312 0.003267 0.023045
14.110000 0.006657 0.003461 0.003196
14.120000 0.005727 0.003675 0.002052
14.130000 0.000000 0.003912 -0.003912
14.140000 0.016488 0.004175 0.012313
14.150000 0.010329 0.004467 0.005861
14.160000 0.008530 0.004795 0.003735
14.170000 0.014996 0.005162 0.009834
14.180000 0.013633 0.005575 0.008058
14.190000 0.023147 0.006043 0.017104
14.200000 0.028315 0.006576 0.021740
14.210000 0.022593 0.007185 0.015408
14.220000 0.030374 0.007889 0.022484
14.230000 0.033359 0.008715 0.024644
14.240000 0.027644 0.009704 0.017940
14.250000 0.052833 0.010933 0.041899
14.260000 0.044072 0.012544 0.031528
14.270000 0.066213 0.014799 0.051414
14.280000 0.057453 0.018165 0.039288
14.290000 0.094397 0.023436 0.070961
14.300000 0.100875 0.031852 0.069023
14.310000 0.120405 0.045199 0.075206
14.320000 0.139074 0.065772 0.073301
14.330000 0.169924 0.096143 0.073781
14.340000 0.199477 0.138625 0.060853
14.350000 0.255143 0.194489 0.060653
14.360000 0.318655 0.263040 0.055614
14.370000 0.384770 0.340795 0.043975
14.380000 0.407359 0.421020 -0.013661
14.390000 0.501772 0.493881 0.007892
14.400000 0.558320 0.547697 0.010624
14.410000 0.563923 0.571904 -0.007982
14.420000 0.584337 0.561154 0.023184
14.430000 0.530732 0.517877 0.012855
14.440000 0.430990 0.451074 -0.020084
14.450000 0.352571 0.372431 -0.019860
14.460000 0.281563 0.292735 -0.011172
14.470000 0.193566 0.219997 -0.026431
14.480000 0.132137 0.158946 -0.026809
14.490000 0.087677 0.111285 -0.023609
14.500000 0.074573 0.076407 -0.001834
14.510000 0.027936 0.052299 -0.024363
14.520000 0.028764 0.036415 -0.007651
14.530000 0.003896 0.026308 -0.022412
14.540000 0.011256 0.019980 -0.008725
14.550000 0.015122 0.015984 -0.000862
14.560000 0.008115 0.013365 -0.005250
14.570000 0.018512 0.011543 0.006969
14.580000 0.011942 0.010188 0.001754
14.590000 0.001443 0.009118 -0.007675
14.600000 0.000533 0.008237 -0.007704
14.610000 0.000000 0.007491 -0.007491
14.620000 0.004363 0.006848 -0.002485
14.630000 0.000000 0.006289 -0.006289
14.640000 0.001230 0.005799 -0.004570
14.650000 0.004665 0.005367 -0.000702
14.660000 0.000000 0.004984 -0.004984
14.670000 0.008934 0.004643 0.004291
14.680000 0.001062 0.004339 -0.003277
14.690000 0.002757 0.004065 -0.001308
14.700000 0.010558 0.003820 0.006739
14.710000 0.007466 0.003598 0.003868
14.720000 0.006561 0.003396 0.003164
14.730000 0.008258 0.003214 0.005044
14.740000 0.000000 0.003047 -0.003047
14.750000 0.006004 0.002896 0.003108
14.760000 0.007712 0.002757 0.004955
14.770000 0.000000 0.002629 -0.002629
14.780000 0.013297 0.002512 0.010785
14.790000 0.002806 0.002404 0.000402
14.800000 0.004081 0.002305 0.001776
14.810000 0.002734 0.002213 0.000521
14.820000 0.004880 0.002128 0.002752
14.830000 0.000921 0.002049 -0.001128
14.840000 0.007856 0.001976 0.005881
14.850000 0.009994 0.001908 0.008086
14.860000 0.000000 0.001845 -0.001845
14.870000 0.004702 0.001786 0.002915
14.880000 0.000000 0.001731 -0.001731
14.890000 0.005941 0.001680 0.004261
14.900000 0.006347 0.001633 0.004715
14.910000 0.006746 0.001588 0.005158
14.920000 0.004976 0.001546 0.003430
14.930000 0.000000 0.001508 -0.001508
14.940000 0.011008 0.001471 0.009537
14.950000 0.000000 0.001437 -0.001437
14.960000 0.002238 0.001405 0.000833
14.970000 0.003074 0.001376 0.001699
14.980000 0.005224 0.001348 0.003877
14.990000 0.000000 0.001322 -0.001322
15.000000 0.000000 0.001297 -0.001297
15.010000 0.012097 0.001275 0.010822
15.020000 0.004234 0.001253 0.002981
15.030000 0.000000 0.001234 -0.001234
15.040000 0.000000 0.001215 -0.001215
15.050000 0.006322 0.001198 0.005123
15.060000 0.000000 0.001182 -0.001182
15.070000 0.000000 0.001168 -0.001168
15.080000 0.000000 0.001154 -0.001154
15.090000 0.000115 0.001142 -0.001027
15.100000 0.013150 0.001130 0.012020
15.110000 0.012250 0.001120 0.011130
15.120000 0.000000 0.001111 -0.001111
15.130000 0.000000 0.001102 -0.001102
15.140000 0.000852 0.001094 -0.000242
15.150000 0.000000 0.001088 -0.001088
15.160000 0.006894 0.001082 0.005812
15.170000 0.010784 0.001077 0.009707
15.180000 0.002488 0.001073 0.001416
15.190000 0.005508 0.001070 0.004439
15.200000 0.002001 0.001067 0.000934
15.210000 0.008069 0.001065 0.007004
15.220000 0.000000 0.001065 -0.001065
15.230000 0.002359 0.001065 0.001294
15.240000 0.007123 0.001065 0.006058
15.250000 0.013192 0.001067 0.012125
15.260000 0.002719 0.001069 0.001650
15.270000 0.007482 0.001072 0.006410
15.280000 0.000056 0.001076 -0.001020
15.290000 0.000000 0.001081 -0.001081
15.300000 0.004360 0.001087 0.003273
15.310000 0.000000 0.001093 -0.001093
15.320000 0.000000 0.001101 -0.001101
15.330000 0.008638 0.001109 0.007529
15.340000 0.004259 0.001118 0.003140
15.350000 0.003362 0.001129 0.002233
15.360000 0.001158 0.001140 0.000019
15.370000 0.002872 0.001152 0.001720
15.380000 0.004585 0.001166 0.003420
15.390000 0.000000 0.001180 -0.001180
15.400000 0.011925 0.001196 0.010729
15.410000 0.000000 0.001213 -0.001213
15.420000 0.000000 0.001231 -0.001231
15.430000 0.000000 0.001251 -0.001251
15.440000 0.000000 0.001272 -0.001272
15.450000 0.001724 0.001295 0.000429
15.460000 0.000000 0.001319 -0.001319
15.470000 0.000000 0.001346 -0.001346
15.480000 0.000000 0.001374 -0.001374
15.490000 0.000000 0.001404 -0.001404
15.500000 0.000000 0.001436 -0.001436
15.510000 0.000000 0.001470 -0.001470
15.520000 0.008342 0.001507 0.006835
15.530000 0.006981 0.001547 0.005434
15.540000 0.011715 0.001590 0.010125
15.550000 0.001210 0.001635 -0.000425
15.560000 0.002025 0.001684 0.000340
15.570000 0.000000 0.001737 -0.001737
15.580000 0.001912 0.001794 0.000118
15.590000 0.000000 0.001855 -0.001855
15.600000 0.000000 0.001921 -0.001921
15.610000 0.003048 0.001993 0.001056
15.620000 0.000000 0.002070 -0.002070
15.630000 0.008595 0.002154 0.006441
15.640000 0.003750 0.002245 0.001506
15.650000 0.000000 0.002343 -0.002343
15.660000 0.002767 0.002451 0.000316
15.670000 0.000000 0.002569 -0.002569
15.680000 0.000913 0.002698 -0.001784
15.690000 0.000000 0.002839 -0.002839
15.700000 0.000000 0.002995 -0.002995
15.710000 0.016419 0.003166 0.013252
15.720000 0.015493 0.003356 0.012137
15.730000 0.006295 0.003567 0.002728
15.740000 0.012335 0.003802 0.008534
15.750000 0.008797 0.004065 0.004732
15.760000 0.004825 0.004360 0.000466
15.770000 0.005204 0.004693 0.000511
15.780000 0.015600 0.005070 0.010530
15.790000 0.012932 0.005501 0.007431
15.800000 0.010267 0.005995 0.004272
15.810000 0.015435 0.006568 0.008867
15.820000 0.015383 0.007245 0.008138
15.830000 0.031000 0.008067 0.022934
15.840000 0.027901 0.009106 0.018795
15.850000 0.037859 0.010504 0.027355
15.860000 0.046515 0.012517 0.033998
15.870000 0.056038 0.015598 0.040440
15.880000 0.063388 0.020495 0.042893
15.890000 0.055932 0.028348 0.027585
15.900000 0.071991 0.040728 0.031263
15.910000 0.109376 0.059553 0.049823
15.920000 0.129354 0.086802 0.042552
15.930000 0.148019 0.123991 0.024029
15.940000 0.188023 0.171484 0.016539
15.950000 0.246742 0.227783 0.018959
15.960000 0.269768 0.289002 -0.019235
15.970000 0.355914 0.348709 0.007205
15.980000 0.405932 0.398332 0.007601
15.990000 0.438531 0.428647 0.009883
16.000000 0.423682 0.432857 -0.009175
16.010000 0.395331 0.409937 -0.014606
16.020000 0.356539 0.365224 -0.008685
16.030000 0.314258 0.307598 0.006659
16.040000 0.240202 0.246059 -0.005857
16.050000 0.159175 0.187764 -0.028589
16.060000 0.110806 0.137370 -0.026564
16.070000 0.081586 0.097056 -0.015470
16.080000 0.051502 0.066949 -0.015447
16.090000 0.032296 0.045803 -0.013507
16.100000 0.024852 0.031714 -0.006862
16.110000 0.014353 0.022703 -0.008350
16.120000 0.019099 0.017079 0.002020
16.130000 0.018614 0.013571 0.005043
16.140000 0.012477 0.011323 0.001154
16.150000 0.008945 0.009803 -0.000857
16.160000 0.014127 0.008705 0.005423
16.170000 0.008855 0.007861 0.000994
16.180000 0.000000 0.007182 -0.007182
16.190000 0.001365 0.006619 -0.005255
16.200000 0.009595 0.006146 0.003449
16.210000 0.005195 0.005746 -0.000551
16.220000 0.000000 0.005407 -0.005407
16.230000 0.006850 0.005121 0.001728
16.240000 0.017694 0.004883 0.012810
16.250000 0.009376 0.004690 0.004686
16.260000 0.012819 0.004540 0.008280
16.270000 0.009292 0.004436 0.004855
16.280000 0.004028 0.004389 -0.000361
16.290000 0.002242 0.004419 -0.002177
16.300000 0.006122 0.004567 0.001555
16.310000 0.008255 0.004899 0.003356
16.320000 0.000000 0.005522 -0.005522
16.330000 0.009044 0.006584 0.002460
16.340000 0.005959 0.008273 -0.002314
16.350000 0.011576 0.010790 0.000786
16.360000 0.015020 0.014307 0.000713
16.370000 0.027169 0.018901 0.008268
16.380000 0.024083 0.024484 -0.000401
16.390000 0.029703 0.030744 -0.001041
16.400000 0.019653 0.037110 -0.017457
16.410000 0.037026 0.042777 -0.005751
16.420000 0.037424 0.046828 -0.009404
16.430000 0.046092 0.048500 -0.002409
16.440000 0.055632 0.047481 0.008151
16.450000 0.046887 0.044012 0.002874
16.460000 0.033790 0.038749 -0.004958
16.470000 0.028092 0.032531 -0.004439
16.480000 0.035892 0.026173 0.009719
16.490000 0.012345 0.020307 -0.007962
16.500000 0.014920 0.015321 -0.000401
16.510000 0.026638 0.011371 0.015266
16.520000 0.014412 0.008429 0.005983
16.530000 0.008715 0.006355 0.002361
16.540000 0.010857 0.004959 0.005898
16.550000 0.008208 0.004053 0.004154
16.560000 0.000000 0.003478 -0.003478
16.570000 0.002041 0.003114 -0.001074
16.580000 0.013324 0.002879 0.010445
16.590000 0.003711 0.002722 0.000989
16.600000 0.005852 0.002610 0.003242
16.610000 0.002333 0.002528 -0.000195
16.620000 0.000000 0.002466 -0.002466
16.630000 0.000521 0.002418 -0.001897
16.640000 0.009193 0.002382 0.006811
16.650000 0.000000 0.002356 -0.002356
16.660000 0.000000 0.002338 -0.002338
16.670000 0.000000 0.002328 -0.002328
16.680000 0.005568 0.002325 0.003243
16.690000 0.000000 0.002329 -0.002329
16.700000 0.000000 0.002339 -0.002339
16.710000 0.003282 0.002355 0.000927
16.720000 0.000000 0.002377 -0.002377
16.730000 0.002334 0.002405 -0.000070
16.740000 0.001423 0.002438 -0.001015
16.750000 0.003121 0.002478 0.000644
16.760000 0.000000 0.002524 -0.002524
16.770000 0.000000 0.002576 -0.002576
16.780000 0.002106 0.002634 -0.000528
